code_programme,titre_programme,theme
217,"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables","Ecologie, développement et mobilité durables"
135,"Urbanisme, territoires et amélioration de l’habitat",Cohésion des territoires
205,Affaires maritimes,"Ecologie, développement et mobilité durables"
203,Infrastructures et services de transports,"Ecologie, développement et mobilité durables"
181,Prévention des risques,"Ecologie, développement et mobilité durables"
174,"Énergie, climat et après-mines","Ecologie, développement et mobilité durables"
159,"Expertise, information géographique et météorologie","Ecologie, développement et mobilité durables"
113,"Paysages, eau et biodiversité","Ecologie, développement et mobilité durables"
345,Service public de l'énergie,"Ecologie, développement et mobilité durables"
177,"Hébergement, parcours vers le logement et insertion des personnes vulnérables",Cohésion des territoires
162,Interventions territoriales de l'État,Cohésion des territoires
147,Politique de la ville,Cohésion des territoires
112,Impulsion et coordination de la politique d'aménagement du territoire,Cohésion des territoires
109,Aide à l'accès au logement,Cohésion des territoires
360,Compensation à la sécurité sociale des allègements de prélèvements pour les entreprises les plus touchées par la crise sanitaire,Plan d'urgence face à la crise sanitaire
358,Renforcement exceptionnel des participations financières de l'État dans le cadre de la crise sanitaire,Plan d'urgence face à la crise sanitaire
357,Fonds de solidarité pour les entreprises à la suite de la crise sanitaire,Plan d'urgence face à la crise sanitaire
356,Prise en charge du chômage partiel et financement des aides d’urgence aux employeurs et aux actifs précaires à la suite de la crise sanitaire,Plan d'urgence face à la crise sanitaire
352,Innovation et transformation numériques,Transformation et fonctions publiques
351,Fonds d'accompagnement interministériel Ressources humaines,
349,Transformation publique,Transformation et fonctions publiques
155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",Travail et emploi
111,Amélioration de la qualité de l'emploi et des relations du travail,Travail et emploi
103,Accompagnement des mutations économiques et développement de l'emploi,Travail et emploi
102,Accès et retour à l'emploi,Travail et emploi
364,Cohésion,Plan de relance
363,Compétitivité,Plan de relance
362,Ecologie,Plan de relance
366,Matériels sanitaires pour faire face à la crise de la covid-19,Plan d'urgence face à la crise sanitaire
368,Conduite et pilotage de la transformation et de la fonction publiques,"Solidarité, insertion et égalité des chances, Transformation et fonctions publiques"
348,Rénovation des cités administratives et autres sites domaniaux multi-occupants,Transformation et fonctions publiques
148,Fonction publique,Transformation et fonctions publiques
355,Charge de la dette de SNCF Réseau reprise par l'État (crédits évaluatifs),"Ecologie, développement et mobilité durables"
350,Jeux olympiques et paralympiques 2024,"Sport, jeunesse et vie associative"
219,Sport,"Sport, jeunesse et vie associative"
163,Jeunesse et vie associative,"Sport, jeunesse et vie associative"
304,Inclusion sociale et protection des personnes,"Solidarité, insertion et égalité des chances"
